Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Pases_recibidos,Pases_balon_vivo,Pases_completados,Pases_intentados,xG,precio_millones
Þorir Johann Helgason,is ISL,LM,24.239,2025-05-25 00:00:00,0.0,2.0,5.0,7.0,9.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.232,2025-05-18 00:00:00,0.0,8.0,8.0,8.0,12.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,AM,24.225,2025-05-11 00:00:00,0.0,19.0,24.0,21.0,30.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,DM,24.217,2025-05-03 00:00:00,0.0,18.0,22.0,15.0,23.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,LW,24.211,2025-04-27 00:00:00,0.0,2.0,4.0,4.0,4.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.203,2025-04-19 00:00:00,0.0,13.0,14.0,10.0,21.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.196,2025-04-12 00:00:00,0.0,4.0,3.0,4.0,6.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,AM,24.190,2025-04-06 00:00:00,0.0,20.0,23.0,20.0,34.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.182,2025-03-29 00:00:00,0.0,10.0,12.0,10.0,19.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,AM,24.167,2025-03-14 00:00:00,0.0,15.0,19.0,16.0,24.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.161,2025-03-08 00:00:00,0.0,13.0,20.0,15.0,22.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,RW,24.153,2025-02-28 00:00:00,0.0,8.0,6.0,3.0,6.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.141,2025-02-16 00:00:00,0.0,16.0,15.0,18.0,23.0,0.2,3000000.0
Þorir Johann Helgason,is ISL,AM,24.134,2025-02-09 00:00:00,0.0,17.0,17.0,14.0,21.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,RM,24.125,2025-01-31 00:00:00,0.0,27.0,25.0,16.0,27.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,"RM,LM",24.120,2025-01-26 00:00:00,0.0,35.0,33.0,28.0,41.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,RM,24.113,2025-01-19 00:00:00,0.0,12.0,16.0,9.0,17.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,RM,24.105,2025-01-11 00:00:00,0.0,21.0,21.0,13.0,24.0,0.2,3000000.0
Þorir Johann Helgason,is ISL,RM,24.099,2025-01-05 00:00:00,0.0,11.0,14.0,14.0,16.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,LM,24.078,2024-12-15 00:00:00,0.0,8.0,9.0,5.0,11.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,"LW,LM",24.058,2024-11-25 00:00:00,0.0,3.0,5.0,5.0,5.0,0.0,3000000.0
Ørjan Nyland,no NOR,GK,34.250,2025-05-18 00:00:00,0.0,12.0,20.0,17.0,33.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.245,2025-05-13 00:00:00,0.0,13.0,23.0,18.0,35.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.242,2025-05-10 00:00:00,0.0,16.0,21.0,18.0,26.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.236,2025-05-04 00:00:00,0.0,23.0,32.0,23.0,40.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.226,2025-04-24 00:00:00,0.0,8.0,9.0,12.0,21.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.222,2025-04-20 00:00:00,0.0,20.0,30.0,26.0,42.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.213,2025-04-11 00:00:00,0.0,19.0,21.0,21.0,25.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.208,2025-04-06 00:00:00,0.0,31.0,42.0,31.0,48.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.201,2025-03-30 00:00:00,0.0,17.0,24.0,25.0,28.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.187,2025-03-16 00:00:00,0.0,31.0,39.0,36.0,48.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.180,2025-03-09 00:00:00,0.0,15.0,19.0,17.0,29.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.172,2025-03-01 00:00:00,0.0,11.0,19.0,17.0,28.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.167,2025-02-24 00:00:00,0.0,12.0,17.0,13.0,25.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.159,2025-02-16 00:00:00,0.0,21.0,33.0,25.0,40.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.152,2025-02-09 00:00:00,0.0,11.0,18.0,18.0,30.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.144,2025-02-01 00:00:00,0.0,25.0,37.0,28.0,41.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.137,2025-01-25 00:00:00,0.0,15.0,18.0,16.0,21.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.130,2025-01-18 00:00:00,0.0,12.0,20.0,18.0,24.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.123,2025-01-11 00:00:00,0.0,22.0,29.0,20.0,35.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.045,2024-10-25 00:00:00,0.0,25.0,31.0,26.0,37.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.040,2024-10-20 00:00:00,0.0,17.0,21.0,16.0,30.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.026,2024-10-06 00:00:00,0.0,20.0,29.0,20.0,38.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.019,2024-09-29 00:00:00,0.0,30.0,35.0,28.0,43.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.014,2024-09-24 00:00:00,0.0,11.0,18.0,17.0,26.0,0.0,900000.0
